"Sample ID","Original Depth (m)","AP_comp Depth (cm)","Age (kyr)","Sedimentation Rate (cm/kyr)","Dry Bulk Density (g/cm3)","C. wuellerstorfi d18O (‰ vs. PDB)","C. wuellerstorfi d18O (‰ vs. PDB) + 0.64‰","C. wuellerstorfi d13C (‰ vs. PDB)","IRD Concentration (grains/g)","IRD Apparent MAR (grains/cm2/kyr)"
"MD02-2588-128.5",1.285,128.5,49.31,2.503,0.7324,4.1,4.74,0.35,1.15,2.10826558792239
"MD02-2588-129.5",1.295,129.5,49.71,2.494,0.7325,4.07,4.71,0.17,1.16,2.11908682119703
"MD02-2588-130.5",1.305,130.5,50.11,2.488,0.7327,3.98,4.62,0.42,1.51,2.75218006138059
"MD02-2588-131.5",1.315,131.5,50.52,2.491,0.7329,4.1,4.74,0.19,0.87,1.58799969433375
"MD02-2588-132.5",1.325,132.5,50.92,2.497,0.733,4,4.64,0.38,1.06,1.94004035268414
"MD02-2588-133.5",1.335,133.5,51.32,2.488,0.7332,3.95,4.59,0.26,2.1,3.82993419962686
"MD02-2588-134.5",1.345,134.5,51.73,2.46,0.7333,3.96,4.6,0.45,1.31,2.36319421445264
"MD02-2588-135.5",1.355,135.5,52.13,2.448,0.7335,4.05,4.69,0.38,3.28,5.88926362643824
"MD02-2588-136.5",1.365,136.5,52.54,2.439,0.7336,4.07,4.71,0.26,2.02,3.61440833085363
"MD02-2588-137.5",1.375,137.5,52.95,2.433,0.7338,4.04,4.68,0.41,0.9,1.60679630474452
"MD02-2588-138.5",1.385,138.5,53.37,2.43,0.7339,3.97,4.61,0.31,0.62,1.10578925917376
"MD02-2588-139.5",1.395,139.5,53.78,2.424,0.7341,3.93,4.57,0.22,1.47,2.61597883145454
"MD02-2588-140.5",1.405,140.5,54.19,2.442,0.7342,3.89,4.53,0.43,,
"MD02-2588-141.5",1.415,141.5,54.6,2.421,0.7344,3.89,4.53,0.41,0.98,1.74259858559323
"MD02-2588-142.5",1.425,142.5,55.02,2.395,0.7345,3.84,4.48,0.44,0.45,0.791712552395202
"MD02-2588-143.5",1.435,143.5,55.43,2.427,0.7347,3.84,4.48,0.38,0.95,1.6940569074636
"MD02-2588-144.5",1.445,144.5,55.84,2.433,0.7348,3.78,4.42,0.42,0.22,0.39334399111922
"MD02-2588-145.5",1.455,145.5,56.25,2.421,0.735,3.87,4.51,0.19,0.22,0.391520305932207
"MD02-2588-146.5",1.465,146.5,56.67,2.41,0.7351,3.78,4.42,0.23,1.07,1.89542799222892
"MD02-2588-147.5",1.475,147.5,57.09,2.387,0.7353,3.8,4.44,0.34,0.66,1.15822094570405
"MD02-2588-148.5",1.485,148.5,57.51,2.387,0.7354,3.8,4.44,0.29,0.44,0.772307041288789
"MD02-2588-149.5",1.495,149.5,57.92,2.398,0.7356,3.78,4.42,0.16,0.69,1.21717818902877
"MD02-2588-150.5",1.505,150.5,58.34,2.418,0.7358,3.98,4.62,0.05,,
"MD02-2588-151.5",1.515,151.5,58.75,2.43,0.7359,3.97,4.61,0.16,2.34,4.18472141445933
"MD02-2588-152.5",1.525,152.5,59.16,2.43,0.7361,3.91,4.55,0.18,1.09,1.94969561512756
"MD02-2588-153.5",1.535,153.5,59.57,2.43,0.7362,4.03,4.67,0.15,4.14,7.40679333791015
"MD02-2588-154.5",1.545,154.5,59.98,2.442,0.7364,3.97,4.61,0.2,1.58,2.8411386084249
"MD02-2588-155.5",1.555,155.5,60.39,2.436,0.7365,3.9,4.54,0.23,2.91,5.22105814658954
"MD02-2588-156.5",1.565,156.5,60.8,2.442,0.7367,3.82,4.46,0.41,1.59,2.86029830201464
"MD02-2588-157.5",1.575,157.5,61.21,2.472,0.7368,3.9,4.54,0.3,2.88,5.24603792336219
"MD02-2588-158.5",1.585,158.5,61.61,2.491,0.737,3.94,4.58,0.24,3.44,6.31421923735992
"MD02-2588-159.5",1.595,159.5,62.01,2.497,0.7371,3.93,4.57,0.3,2.29,4.21472237159799
"MD02-2588-160.5",1.605,160.5,62.41,2.516,0.7373,3.92,4.56,-0.05,3.83,7.10373650886791
"MD02-2588-161.5",1.615,161.5,62.8,2.554,0.7374,3.87,4.51,0.11,1.51,2.84419601296296
"MD02-2588-162.5",1.625,162.5,63.18,2.608,0.7376,3.82,4.46,0.22,,
"MD02-2588-163.5",1.635,163.5,63.56,2.663,0.7377,3.86,4.5,0.09,3.94,7.74067333701726
"MD02-2588-164.5",1.645,164.5,63.93,2.695,0.7379,3.75,4.39,0.06,5.09,10.1233746760781
"MD02-2588-165.5",1.655,165.5,64.29,2.747,0.738,3.91,4.55,0.19,4.41,8.94144210144238
"MD02-2588-166.5",1.665,166.5,64.65,2.797,0.7382,4.11,4.75,-0.17,3.51,7.24753471909087
"MD02-2588-167.5",1.675,167.5,65,2.837,0.7383,4.01,4.65,0.04,3.74,7.83358450709238
"MD02-2588-168.5",1.685,168.5,65.35,2.894,0.7385,4.17,4.81,-0.07,3.41,7.28858366953688
"MD02-2588-169.5",1.695,169.5,65.69,2.954,0.7386,4.19,4.83,-0.11,5.37,11.7176666816097
"MD02-2588-170.5",1.705,170.5,66.02,3.012,0.7388,4.17,4.81,-0.08,,
"MD02-2588-171.5",1.715,171.5,66.34,3.063,0.7389,4.08,4.72,0,3.2,7.24218445329259
"MD02-2588-172.5",1.725,172.5,66.67,3.106,0.7391,4.15,4.79,-0.1,3.74,8.5843431638198
"MD02-2588-173.5",1.735,173.5,66.98,3.16,0.7392,4.17,4.81,-0.15,2.7,6.30623117772502
"MD02-2588-174.5",1.745,174.5,67.3,3.18,0.7394,4.13,4.77,-0.01,6.46,15.1872852513516
"MD02-2588-175.5",1.755,175.5,67.61,3.17,0.7395,4.09,4.73,-0.21,,
"MD02-2588-176.5",1.765,176.5,67.93,3.16,0.7397,4,4.64,0.05,4.53,10.5869167590046
"MD02-2588-177.5",1.775,177.5,68.24,3.19,0.7398,4.13,4.77,-0.06,4.6,10.8555937400317
"MD02-2588-178.5",1.785,178.5,68.55,3.241,0.74,4.15,4.79,-0.06,5.19,12.4489784851704
"MD02-2588-179.5",1.795,179.5,68.86,3.284,0.7401,4.08,4.72,0.05,7.62,18.5215521866992
"MD02-2588-180.5",1.805,180.5,69.16,3.311,0.7403,4.21,4.85,-0.07,4.29,10.5159419431294
"MD02-2588-181.5",1.815,181.5,69.46,3.3,0.7404,4.11,4.75,-0.07,3.28,8.01525083366344
"MD02-2588-182.5",1.825,182.5,69.76,3.306,0.7406,4.18,4.82,-0.13,3.39,8.29942951859479
"MD02-2588-183.5",1.835,183.5,70.07,3.3,0.7407,4.19,4.83,0.05,7.35,17.9682838081685
"MD02-2588-184.5",1.845,184.5,70.37,3.289,0.7409,4.14,4.78,-0.13,3.54,8.62739097187494
"MD02-2588-185.5",1.855,185.5,70.67,3.311,0.741,4.16,4.8,-0.15,5.05,12.3914490798844
"MD02-2588-186.5",1.865,186.5,70.97,3.317,0.7412,4.1,4.74,-0.01,6.25,15.3644907234658
"MD02-2588-187.5",1.875,187.5,71.27,3.35,0.7413,4.04,4.68,0.11,2.18,5.41408888190947
"MD02-2588-188.5",1.885,188.5,71.57,3.373,0.7415,4.07,4.71,-0.05,3.58,8.95280764367639
"MD02-2588-189.5",1.895,189.5,71.87,3.333,0.7416,4.05,4.69,0.04,12,29.6652877000003
"MD02-2588-190.5",1.905,190.5,72.17,3.333,0.7418,4,4.64,0.05,15.69,38.7951877477504
"MD02-2588-191.5",1.915,191.5,72.47,3.344,0.7419,4.05,4.69,0.23,15.78,39.1561084510025
"MD02-2588-192.5",1.925,192.5,72.76,3.373,0.7421,4,4.64,0.38,23.72,59.3664650000011
"MD02-2588-193.5",1.935,193.5,73.06,3.378,0.7422,3.92,4.56,0.27,29.8,74.7245301638497
"MD02-2588-194.5",1.945,194.5,73.36,3.378,0.7424,3.75,4.39,0.39,16.92,42.436022652366
"MD02-2588-195.5",1.955,195.5,73.65,3.378,0.7425,3.9,4.54,0.5,14.41,36.1481126382593
"MD02-2588-196.5",1.965,196.5,73.95,3.378,0.7427,3.84,4.48,0.38,6.13,15.3804626764362
"MD02-2588-197.5",1.975,197.5,74.24,3.396,0.7428,3.75,4.39,0.37,6.59,16.6221799299653
"MD02-2588-198.5",1.985,198.5,74.54,3.384,0.743,3.8,4.44,0.38,2.2,5.53146582571931
"MD02-2588-199.5",1.995,199.5,74.83,3.384,0.7431,3.72,4.36,0.53,,
"MD02-2588-200.5",2.005,200.5,75.13,3.384,0.7433,3.71,4.35,0.27,,
"MD02-2588-201.5",2.015,201.5,75.43,3.378,0.7434,3.7,4.34,0.29,0.61,1.53205504670612
"MD02-2588-202.5",2.025,202.5,75.72,3.367,0.7436,3.68,4.32,0.35,,
"MD02-2588-203.5",2.035,203.5,76.02,3.39,0.7437,3.83,4.47,0.41,2.69,6.78172829296606
"MD02-2588-204.5",2.045,204.5,76.31,3.431,0.7439,,,,,
"MD02-2588-205.5",2.055,205.5,76.6,3.413,0.744,3.67,4.31,0.5,1.73,4.39301080213301
"MD02-2588-206.5",2.065,206.5,76.89,3.419,0.7442,3.67,4.31,0.58,,
"MD02-2588-207.5",2.075,207.5,77.19,3.431,0.7443,3.59,4.23,0.73,1.57,4.00883645154375
"MD02-2588-208.5",2.085,208.5,77.48,3.413,0.7445,3.65,4.29,0.69,,
"MD02-2588-209.5",2.095,209.5,77.77,3.396,0.7446,3.57,4.21,0.66,2.44,6.16928765263159
"MD02-2588-210.5",2.105,210.5,78.07,3.373,0.7448,3.47,4.11,0.61,1.66,4.16965794114659
"MD02-2588-211.5",2.115,211.5,78.36,3.396,0.7449,3.59,4.23,0.7,1.97,4.98292624456708
"MD02-2588-212.5",2.125,212.5,78.66,3.431,0.7451,3.57,4.21,0.52,,
"MD02-2588-213.5",2.135,213.5,78.95,3.448,0.7452,3.46,4.1,0.48,1.37,3.52045608456906
"MD02-2588-214.5",2.145,214.5,79.23,3.46,0.7454,3.55,4.19,0.43,,
"MD02-2588-215.5",2.155,215.5,79.52,3.448,0.7455,3.46,4.1,0.55,2.45,6.29820902284469
"MD02-2588-216.5",2.165,216.5,79.82,3.401,0.7457,3.5,4.14,0.56,,
"MD02-2588-217.5",2.175,217.5,80.11,3.425,0.7458,3.57,4.21,0.53,,
"MD02-2588-218.5",2.185,218.5,80.4,3.454,0.7459,3.54,4.18,0.61,2.01,5.17910855725382
"MD02-2588-219.5",2.195,219.5,80.69,3.436,0.7461,3.53,4.17,0.7,,
"MD02-2588-220.5",2.205,220.5,80.98,3.436,0.7462,3.55,4.19,0.57,,
"MD02-2588-221.5",2.215,221.5,81.28,3.407,0.7464,3.57,4.21,0.65,2.98,7.57833425843285
"MD02-2588-222.5",2.225,222.5,81.57,3.396,0.7465,3.59,4.23,0.51,,
"MD02-2588-223.5",2.235,223.5,81.86,3.419,0.7467,3.46,4.1,0.68,,
"MD02-2588-224.5",2.245,224.5,82.15,3.442,0.7468,3.49,4.13,0.6,1.03,2.64797751213417
"MD02-2588-225.5",2.255,225.5,82.44,3.454,0.747,3.39,4.03,0.68,,
"MD02-2588-226.5",2.265,226.5,82.73,3.466,0.7471,3.35,3.99,0.57,,
"MD02-2588-227.5",2.275,227.5,83.02,3.515,0.7473,3.43,4.07,0.66,0.63,1.65477374999995
"MD02-2588-228.5",2.285,228.5,83.3,3.515,0.7474,3.41,4.05,0.53,,
"MD02-2588-229.5",2.295,229.5,83.59,3.472,0.7476,3.31,3.95,0.55,,
"MD02-2588-230.5",2.305,230.5,83.87,3.49,0.7477,3.4,4.04,0.78,0.59,1.53980031265269
"MD02-2588-231.5",2.315,231.5,84.16,3.509,0.7479,3.36,4,0.64,,
"MD02-2588-232.5",2.325,232.5,84.45,3.484,0.748,3.45,4.09,0.56,,
"MD02-2588-233.5",2.335,233.5,84.73,3.472,0.7482,3.35,3.99,0.56,0.21,0.54553175286459
"MD02-2588-234.5",2.345,234.5,85.02,3.49,0.7483,3.31,3.95,0.69,,
"MD02-2588-235.5",2.355,235.5,85.31,3.515,0.7485,,,,,
"MD02-2588-236.5",2.365,236.5,85.59,3.509,0.7486,3.39,4.03,0.6,,
"MD02-2588-237.5",2.375,237.5,85.88,3.454,0.7487,3.26,3.9,0.59,,
"MD02-2588-238.5",2.385,238.5,86.17,3.46,0.7489,3.28,3.92,0.57,1.2,3.10958629411763
"MD02-2588-239.5",2.395,239.5,86.46,3.484,0.749,3.22,3.86,0.66,,
"MD02-2588-240.5",2.405,240.5,86.74,3.478,0.7492,3.26,3.9,0.45,0.26,0.677524090608709
"MD02-2588-241.5",2.415,241.5,87.03,3.46,0.7493,3.43,4.07,0.57,0.13,0.337069682439445
"MD02-2588-242.5",2.425,242.5,87.32,3.466,0.7495,3.38,4.02,0.56,,
"MD02-2588-243.5",2.435,243.5,87.61,3.49,0.7496,3.36,4,0.48,0.6,1.56989472774867
"MD02-2588-244.5",2.445,244.5,87.89,3.49,0.7498,3.33,3.97,0.35,,
"MD02-2588-245.5",2.455,245.5,88.18,3.49,0.7499,3.43,4.07,0.64,,
"MD02-2588-246.5",2.465,246.5,88.47,3.497,0.7501,3.31,3.95,0.34,,
"MD02-2588-247.5",2.475,247.5,88.75,3.509,0.7502,3.4,4.04,0.47,,
"MD02-2588-248.5",2.485,248.5,89.04,3.49,0.7504,3.27,3.91,0.5,0.62,1.6238069045375
"MD02-2588-249.5",2.495,249.5,89.33,3.478,0.7505,3.47,4.11,0.42,,
"MD02-2588-250.5",2.505,250.5,89.61,3.472,0.7506,3.54,4.18,0.41,,
"MD02-2588-251.5",2.515,251.5,89.9,3.448,0.7508,3.51,4.15,0.27,,
"MD02-2588-252.5",2.525,252.5,90.19,3.472,0.7509,3.58,4.22,0.42,,
"MD02-2588-253.5",2.535,253.5,90.48,3.478,0.7511,3.32,3.96,0.43,0.65,1.69810664739134
"MD02-2588-254.5",2.545,254.5,90.77,3.472,0.7512,3.5,4.14,0.49,,
"MD02-2588-255.5",2.555,255.5,91.05,3.503,0.7514,3.44,4.08,0.32,,
"MD02-2588-256.5",2.565,256.5,91.34,3.484,0.7515,3.55,4.19,0.31,,
"MD02-2588-257.5",2.575,257.5,91.63,3.454,0.7517,3.69,4.33,0.36,2.05,5.32269444084622
"MD02-2588-258.5",2.585,258.5,91.92,3.454,0.7518,3.66,4.3,0.37,3.66,9.50479663886044
"MD02-2588-259.5",2.595,259.5,92.21,3.472,0.752,3.67,4.31,0.55,5.29,13.8120300601557
"MD02-2588-260.5",2.605,260.5,92.49,3.478,0.7521,3.68,4.32,0.49,0.82,2.14513338382613
"MD02-2588-261.5",2.615,261.5,92.78,3.472,0.7523,3.63,4.27,0.37,,
"MD02-2588-262.5",2.625,262.5,93.07,3.448,0.7524,3.56,4.2,0.59,,
"MD02-2588-263.5",2.635,263.5,93.36,3.454,0.7525,3.62,4.26,0.41,0,0
"MD02-2588-264.5",2.645,264.5,93.65,3.472,0.7527,3.65,4.29,0.36,,
"MD02-2588-265.5",2.655,265.5,93.94,3.454,0.7528,3.64,4.28,0.52,,
"MD02-2588-266.5",2.665,266.5,94.23,3.472,0.753,3.62,4.26,0.59,,
"MD02-2588-267.5",2.675,267.5,94.51,3.484,0.7531,3.57,4.21,0.51,,
"MD02-2588-268.5",2.685,268.5,94.8,3.466,0.7533,3.62,4.26,0.62,1,2.61097307625651
"MD02-2588-269.5",2.695,269.5,95.09,3.448,0.7534,3.58,4.22,0.36,,
"MD02-2588-270.5",2.705,270.5,95.38,3.448,0.7536,3.62,4.26,0.41,,
"MD02-2588-271.5",2.715,271.5,95.67,3.448,0.7537,3.56,4.2,0.49,,
"MD02-2588-272.5",2.725,272.5,95.96,3.431,0.7538,3.58,4.22,0.47,,
"MD02-2588-273.5",2.735,273.5,96.26,3.436,0.754,3.53,4.17,0.46,1.13,2.92786274475948
"MD02-2588-274.5",2.745,274.5,96.55,3.413,0.7541,3.57,4.21,0.52,,
"MD02-2588-275.5",2.755,275.5,96.84,3.425,0.7543,3.45,4.09,0.66,,
"MD02-2588-276.5",2.765,276.5,97.13,3.46,0.7544,3.53,4.17,0.5,,
"MD02-2588-277.5",2.775,277.5,97.42,3.425,0.7546,3.56,4.2,0.57,,
"MD02-2588-278.5",2.785,278.5,97.71,3.413,0.7547,3.56,4.2,0.57,0.31,0.798500362030738
"MD02-2588-279.5",2.795,279.5,98.01,3.407,0.7549,3.45,4.09,0.59,,
"MD02-2588-280.5",2.805,280.5,98.3,3.396,0.755,,,,,
"MD02-2588-281.5",2.815,281.5,98.59,3.431,0.7551,,,,,
"MD02-2588-282.5",2.825,282.5,98.88,3.454,0.7553,3.35,3.99,0.58,0.2,0.521788126079466
"MD02-2588-283.5",2.835,283.5,99.17,3.46,0.7554,3.41,4.05,0.49,,
"MD02-2588-284.5",2.845,284.5,99.46,3.442,0.7556,3.32,3.96,0.6,,
"MD02-2588-285.5",2.855,285.5,99.76,3.419,0.7557,3.27,3.91,0.61,,
"MD02-2588-286.5",2.865,286.5,100.05,3.442,0.7559,3.43,4.07,0.64,0,0
"MD02-2588-287.5",2.875,287.5,100.34,3.436,0.756,3.27,3.91,0.42,,
"MD02-2588-288.5",2.885,288.5,100.63,3.431,0.7562,3.4,4.04,0.66,,
"MD02-2588-289.5",2.895,289.5,100.92,3.431,0.7563,3.39,4.03,0.54,,
"MD02-2588-290.5",2.905,290.5,101.21,3.436,0.7564,3.44,4.08,0.69,,
"MD02-2588-291.5",2.915,291.5,101.5,3.419,0.7566,3.32,3.96,0.61,,
"MD02-2588-292.5",2.925,292.5,101.8,3.407,0.7567,3.32,3.96,0.6,,
"MD02-2588-293.5",2.935,293.5,102.09,3.425,0.7569,3.18,3.82,0.64,,
"MD02-2588-294.5",2.945,294.5,102.38,3.401,0.757,3.37,4.01,0.51,0.56,1.44192874761906
"MD02-2588-295.5",2.955,295.5,102.68,3.407,0.7572,3.31,3.95,0.55,,
"MD02-2588-296.5",2.965,296.5,102.97,3.419,0.7573,3.43,4.07,0.54,,
"MD02-2588-297.5",2.975,297.5,103.26,3.425,0.7574,3.34,3.98,0.38,,
"MD02-2588-298.5",2.985,298.5,103.55,3.448,0.7576,3.36,4,0.47,,
"MD02-2588-299.5",2.995,299.5,103.84,3.431,0.7577,3.29,3.93,0.56,,
"MD02-2588-300.5",3.005,300.5,104.14,3.39,0.7579,3.38,4.02,0.44,,
"MD02-2588-301.5",3.015,301.5,104.43,3.407,0.758,3.41,4.05,0.4,,
"MD02-2588-302.5",3.025,302.5,104.72,3.419,0.7582,3.37,4.01,0.52,0.65,1.68479402777776
"MD02-2588-303.5",3.035,303.5,105.02,3.407,0.7583,3.38,4.02,0.55,,
"MD02-2588-304.5",3.045,304.5,105.31,3.384,0.7584,3.41,4.05,0.45,,
"MD02-2588-305.5",3.055,305.5,105.61,3.39,0.7586,3.32,3.96,0.37,,
"MD02-2588-306.5",3.065,306.5,105.9,3.384,0.7587,3.4,4.04,0.19,0.61,1.56624102140438
"MD02-2588-307.5",3.075,307.5,106.2,3.367,0.7589,3.51,4.15,0.39,,
"MD02-2588-308.5",3.085,308.5,106.5,3.373,0.759,3.43,4.07,0.34,1.18,3.02069386964592
"MD02-2588-309.5",3.095,309.5,106.79,3.361,0.7592,3.44,4.08,0.5,2.72,6.94085296000001
"MD02-2588-310.5",3.105,310.5,107.09,3.361,0.7593,3.51,4.15,0.31,,
"MD02-2588-311.5",3.115,311.5,107.39,3.384,0.7594,3.52,4.16,0.4,4.49,11.5393840640438
"MD02-2588-312.5",3.125,312.5,107.68,3.396,0.7596,3.46,4.1,0.45,,
"MD02-2588-313.5",3.135,313.5,107.98,3.367,0.7597,3.62,4.26,0.24,4.74,12.124904559091
"MD02-2588-314.5",3.145,314.5,108.28,3.356,0.7599,3.51,4.15,0.19,,
"MD02-2588-315.5",3.155,315.5,108.58,3.344,0.76,3.53,4.17,0.42,5.16,13.1158794290967
"MD02-2588-316.5",3.165,316.5,108.87,3.339,0.7602,3.51,4.15,0.35,,
"MD02-2588-317.5",3.175,317.5,109.18,3.306,0.7603,3.54,4.18,0.43,5.47,13.7481137830574
"MD02-2588-318.5",3.185,318.5,109.48,3.3,0.7604,3.51,4.15,0.27,,
"MD02-2588-319.5",3.195,319.5,109.78,3.339,0.7606,3.6,4.24,0.46,3.86,9.8024293056763
"MD02-2588-320.5",3.205,320.5,110.08,3.333,0.7607,3.6,4.24,0.41,,
"MD02-2588-321.5",3.215,321.5,110.38,3.322,0.7609,3.56,4.2,0.33,7.93,20.0452651685215
"MD02-2588-322.5",3.225,322.5,110.68,3.3,0.761,3.5,4.14,0.36,,
"MD02-2588-323.5",3.235,323.5,110.99,3.3,0.7611,3.61,4.25,0.46,6.9,17.3329806410885
"MD02-2588-324.5",3.245,324.5,111.29,3.317,0.7613,3.55,4.19,0.42,,
"MD02-2588-325.5",3.255,325.5,111.59,3.306,0.7614,3.4,4.04,0.51,5.36,13.4917311728922
"MD02-2588-326.5",3.265,326.5,111.9,3.284,0.7616,3.47,4.11,0.45,,
"MD02-2588-327.5",3.275,327.5,112.2,3.279,0.7617,3.65,4.29,0.35,2.93,7.31740901844246
"MD02-2588-328.5",3.285,328.5,112.5,3.306,0.7619,3.48,4.12,0.36,,
"MD02-2588-329.5",3.295,329.5,112.8,3.311,0.762,3.49,4.13,0.32,,
"MD02-2588-330.5",3.305,330.5,113.11,3.311,0.7621,3.49,4.13,0.49,3.93,9.91783118716912
"MD02-2588-331.5",3.315,331.5,113.41,3.3,0.7623,3.64,4.28,0.4,,
"MD02-2588-332.5",3.325,332.5,113.72,3.273,0.7624,3.58,4.22,0.42,,
"MD02-2588-333.5",3.335,333.5,114.02,3.284,0.7626,3.61,4.25,0.44,12.63,31.6292045795577
"MD02-2588-334.5",3.345,334.5,114.32,3.3,0.7627,3.47,4.11,0.31,,
"MD02-2588-335.5",3.355,335.5,114.62,3.322,0.7628,3.31,3.95,0.18,5.95,15.0793695029069
"MD02-2588-336.5",3.365,336.5,114.92,3.339,0.763,3.53,4.17,0.36,,
"MD02-2588-337.5",3.375,337.5,115.22,3.333,0.7631,3.36,4,0.45,3.52,8.95394500000008
"MD02-2588-338.5",3.385,338.5,115.52,3.356,0.7633,3.33,3.97,0.43,,
"MD02-2588-339.5",3.395,339.5,115.82,3.361,0.7634,3.3,3.94,0.42,6.38,16.3714379769748
"MD02-2588-340.5",3.405,340.5,116.12,3.367,0.7635,3.37,4.01,0.29,,
"MD02-2588-341.5",3.415,341.5,116.41,3.436,0.7637,3.24,3.88,0.48,6.13,16.0872019354813
"MD02-2588-342.5",3.425,342.5,116.7,3.46,0.7638,2.88,3.52,0.57,,
"MD02-2588-343.5",3.435,343.5,116.98,3.503,0.764,3.12,3.76,0.41,13.05,34.9202336571805
"MD02-2588-344.5",3.445,344.5,117.26,3.578,0.7641,3.11,3.75,0.33,,
"MD02-2588-345.5",3.455,345.5,117.54,3.623,0.7642,3.16,3.8,0.57,10.01,27.7177042352345
"MD02-2588-346.5",3.465,346.5,117.81,3.676,0.7644,3.06,3.7,0.48,,
"MD02-2588-347.5",3.475,347.5,118.08,3.656,0.7645,2.96,3.6,0.55,7.71,21.5520523011884
"MD02-2588-348.5",3.485,348.5,118.35,3.67,0.7647,3.12,3.76,0.37,,
"MD02-2588-349.5",3.495,349.5,118.62,3.766,0.7648,2.81,3.45,0.46,6.03,17.3701472872879
"MD02-2588-350.5",3.505,350.5,118.88,3.802,0.7649,2.95,3.59,0.37,,
"MD02-2588-351.5",3.515,351.5,119.15,3.774,0.7651,2.88,3.52,0.37,1.17,3.37792215481131
"MD02-2588-352.5",3.525,352.5,119.41,3.788,0.7652,2.83,3.47,0.57,,
"MD02-2588-353.5",3.535,353.5,119.67,3.876,0.7654,2.78,3.42,0.51,1.84,5.45841443333343
"MD02-2588-354.5",3.545,354.5,119.93,3.906,0.7655,2.83,3.47,0.49,,
"MD02-2588-355.5",3.555,355.5,120.18,3.876,0.7656,2.75,3.39,0.67,0.39,1.1573689770349
"MD02-2588-356.5",3.565,356.5,120.44,3.891,0.7658,2.79,3.43,0.7,,
"MD02-2588-357.5",3.575,357.5,120.7,3.906,0.7659,2.67,3.31,0.54,1.18,3.53042776855468
"MD02-2588-358.5",3.585,358.5,120.95,3.922,0.7661,2.79,3.43,0.65,,
"MD02-2588-359.5",3.595,359.5,121.2,3.984,0.7662,2.74,3.38,0.66,,
"MD02-2588-360.5",3.605,360.5,121.45,4.065,0.7663,2.69,3.33,0.49,0,0
"MD02-2588-361.5",3.615,361.5,121.69,4.132,0.7665,2.72,3.36,0.37,,
"MD02-2588-362.5",3.625,362.5,121.93,4.158,0.7666,2.63,3.27,0.64,0,0
"MD02-2588-363.5",3.635,363.5,122.17,4.175,0.7668,2.79,3.43,0.58,,
"MD02-2588-364.5",3.645,364.5,122.41,4.219,0.7669,2.76,3.4,0.39,0.49,1.58557113639244
"MD02-2588-365.5",3.655,365.5,122.64,4.301,0.767,2.6,3.24,0.52,,
"MD02-2588-366.5",3.665,366.5,122.87,4.338,0.7672,2.51,3.15,0.4,0.12,0.399397917136673
"MD02-2588-367.5",3.675,367.5,123.1,4.348,0.7673,2.58,3.22,0.36,,
"MD02-2588-368.5",3.685,368.5,123.33,4.329,0.7675,2.59,3.23,0.42,0.22,0.730909269047636
"MD02-2588-369.5",3.695,369.5,123.56,4.32,0.7676,2.62,3.26,0.42,,
"MD02-2588-370.5",3.705,370.5,123.79,4.357,0.7677,2.59,3.23,0.41,1.16,3.88047745228755
"MD02-2588-371.5",3.715,371.5,124.02,4.329,0.7679,2.57,3.21,0.38,,
"MD02-2588-372.5",3.725,372.5,124.26,4.237,0.768,2.64,3.28,0.45,0,0
"MD02-2588-373.5",3.735,373.5,124.5,4.149,0.7681,2.52,3.16,0.51,,
"MD02-2588-374.5",3.745,374.5,124.75,4.098,0.7683,2.6,3.24,0.38,0.11,0.346358890061476
"MD02-2588-375.5",3.755,375.5,124.99,4.065,0.7684,2.6,3.24,0.51,,
"MD02-2588-376.5",3.765,376.5,125.24,4.024,0.7686,2.6,3.24,0.22,0,0
"MD02-2588-377.5",3.775,377.5,125.49,3.945,0.7687,2.79,3.43,0.38,,
"MD02-2588-378.5",3.785,378.5,125.75,3.945,0.7688,2.52,3.16,0.34,0.11,0.333619209368833
"MD02-2588-379.5",3.795,379.5,126,3.899,0.769,2.62,3.26,0.19,,
"MD02-2588-380.5",3.805,380.5,126.26,3.854,0.7691,3.04,3.68,0.21,0,0
"MD02-2588-381.5",3.815,381.5,126.52,3.824,0.7693,3.55,4.19,0.02,,
"MD02-2588-382.5",3.825,382.5,126.79,3.802,0.7694,2.75,3.39,0.29,0.44,1.28719793726233
"MD02-2588-383.5",3.835,383.5,127.05,3.839,0.7695,2.99,3.63,0.06,,
"MD02-2588-384.5",3.845,384.5,127.31,3.788,0.7697,3.02,3.66,0,0.11,0.320695538541672
"MD02-2588-385.5",3.855,385.5,127.58,3.731,0.7698,2.75,3.39,0.15,,
"MD02-2588-386.5",3.865,386.5,127.85,3.711,0.7699,2.75,3.39,0.41,0.35,0.999928613636335
"MD02-2588-387.5",3.875,387.5,128.12,3.67,0.7701,2.81,3.45,0.26,,
"MD02-2588-388.5",3.885,388.5,128.4,3.604,0.7702,3.05,3.69,0.3,0,0
"MD02-2588-389.5",3.895,389.5,128.68,3.534,0.7704,3,3.64,0.11,,
"MD02-2588-390.5",3.905,390.5,128.97,3.466,0.7705,3.21,3.85,0.02,0,0
"MD02-2588-391.5",3.915,391.5,129.26,3.401,0.7706,3.08,3.72,0.14,,
"MD02-2588-392.5",3.925,392.5,129.57,3.306,0.7708,3.21,3.85,0.21,0,0
"MD02-2588-393.5",3.935,393.5,129.88,3.16,0.7709,3.72,4.36,0.09,,
